timestamp,object_id,x,y
2018-06-21T17:00:02Z,2359769,-3870.58,-8.9178
2018-06-21T17:00:02Z,2359775,-659.322,274.897
2018-06-21T17:00:03Z,2358964,-2366.34,240.816
2018-06-21T17:00:03Z,2359044,-1657.98,133.569
2018-06-21T17:00:03Z,2359589,-1057.28,340.607
2018-06-21T17:00:03Z,2359612,-2077.25,294.901
2018-06-21T17:00:03Z,2359622,-608.958,366.909
2018-06-21T17:00:03Z,2359632,-2888.92,364.513
2018-06-21T17:00:03Z,2359635,-2786.59,101.724
2018-06-21T17:00:03Z,2359637,-2581.73,323.009
2018-06-21T17:00:03Z,2359651,-1634.75,324.151
2018-06-21T17:00:03Z,2359658,-976.087,85.1001
2018-06-21T17:00:03Z,2359678,-828.555,339.005
2018-06-21T17:00:03Z,2359679,-893.448,351.6
2018-06-21T17:00:03Z,2359695,-1691.56,236.317
2018-06-21T17:00:03Z,2359713,-2180.33,285.059
2018-06-21T17:00:03Z,2359718,-481.601,405.117
2018-06-21T17:00:03Z,2359719,-4282.41,204.951
2018-06-21T17:00:03Z,2359723,-4326.41,299.421
2018-06-21T17:00:03Z,2359724,-325.616,38.9588
2018-06-21T17:00:03Z,2359727,-1809.93,238.026
2018-06-21T17:00:03Z,2359729,68.7504,338.299
2018-06-21T17:00:03Z,2359731,-1692.11,359.824
2018-06-21T17:00:03Z,2359733,-1912.87,122.035
2018-06-21T17:00:03Z,2359735,-4151.76,354.641
2018-06-21T17:00:03Z,2359736,129.061,181.426
2018-06-21T17:00:03Z,2359737,197.894,148.734
2018-06-21T17:00:03Z,2359750,-1191.04,413.382
2018-06-21T17:00:03Z,2359755,-2454.09,1.1572
2018-06-21T17:00:03Z,2359759,-779.95,126.323
2018-06-21T17:00:03Z,2359763,-2588.9,40.8364
2018-06-21T17:00:03Z,2359765,-3290.22,431.785
2018-06-21T17:00:03Z,2359769,-3734.56,-4.6199
2018-06-21T17:00:03Z,2359775,-570.773,318.095
2018-06-21T17:00:04Z,2358964,-2367.7,241.796
2018-06-21T17:00:04Z,2359044,-1658.76,135.225
2018-06-21T17:00:04Z,2359589,-1057.37,340.94
2018-06-21T17:00:04Z,2359612,-2080.85,296.671
2018-06-21T17:00:04Z,2359622,-611.792,368.302
2018-06-21T17:00:04Z,2359632,-2890.46,365.11
2018-06-21T17:00:04Z,2359635,-2785.55,100.774
2018-06-21T17:00:04Z,2359637,-2581.73,322.456
2018-06-21T17:00:04Z,2359651,-1641.46,331.112
2018-06-21T17:00:04Z,2359658,-974.564,85.3696
2018-06-21T17:00:04Z,2359678,-829.854,338.824
2018-06-21T17:00:04Z,2359679,-896.648,358.501
2018-06-21T17:00:04Z,2359695,-1692.41,234.658
2018-06-21T17:00:04Z,2359713,-2090.86,230.819
2018-06-21T17:00:04Z,2359718,-481.719,405.435
2018-06-21T17:00:04Z,2359719,-4281.76,204.94
2018-06-21T17:00:04Z,2359723,-4322.44,298.77
2018-06-21T17:00:04Z,2359724,-380.759,40.9384
2018-06-21T17:00:04Z,2359727,-1802.91,302.906
2018-06-21T17:00:04Z,2359729,71.956,327.917
2018-06-21T17:00:04Z,2359731,-1691.72,358.269
2018-06-21T17:00:04Z,2359733,-1892.34,112.555
2018-06-21T17:00:04Z,2359735,-4151.7,356.924
2018-06-21T17:00:04Z,2359736,133.164,182.557
2018-06-21T17:00:04Z,2359737,199.753,145.018
2018-06-21T17:00:04Z,2359750,-1192.2,411.04
2018-06-21T17:00:04Z,2359755,-2370.98,8.9659
2018-06-21T17:00:04Z,2359759,-781.486,129.823
2018-06-21T17:00:04Z,2359763,-2466.96,65.6433
2018-06-21T17:00:04Z,2359765,-3179.39,424.797
2018-06-21T17:00:04Z,2359769,-3613.38,-3.067
2018-06-21T17:00:04Z,2359775,-533.143,407.434
2018-06-21T17:00:04Z,2359777,-2175.63,220.901
2018-06-21T17:00:05Z,2358964,-2367.61,241.104
2018-06-21T17:00:05Z,2359044,-1660.03,136.549
2018-06-21T17:00:05Z,2359589,-1057.27,338.905
2018-06-21T17:00:05Z,2359612,-2091.93,310.091
2018-06-21T17:00:05Z,2359622,-638.098,363.224
2018-06-21T17:00:05Z,2359632,-2889.69,362.325
2018-06-21T17:00:05Z,2359635,-2791.35,102.34
2018-06-21T17:00:05Z,2359637,-2581.58,322.208
2018-06-21T17:00:05Z,2359651,-1633.42,332.801
2018-06-21T17:00:05Z,2359658,-974.802,85.3815
2018-06-21T17:00:05Z,2359678,-830.697,337.862
2018-06-21T17:00:05Z,2359679,-919.688,374.94
2018-06-21T17:00:05Z,2359695,-1695.97,235.47
2018-06-21T17:00:05Z,2359713,-1969.95,225.167
2018-06-21T17:00:05Z,2359718,-462.047,397.919
2018-06-21T17:00:05Z,2359719,-4286.17,206.552
2018-06-21T17:00:05Z,2359723,-4323.88,302.646
2018-06-21T17:00:05Z,2359724,-453.774,48.2055
2018-06-21T17:00:05Z,2359727,-1809.51,334.022
2018-06-21T17:00:05Z,2359729,93.1546,310.168
2018-06-21T17:00:05Z,2359731,-1696,362.524
2018-06-21T17:00:05Z,2359733,-1920.54,117.934
2018-06-21T17:00:05Z,2359735,-4151.38,364.985
2018-06-21T17:00:05Z,2359736,125.305,181.065
2018-06-21T17:00:05Z,2359737,196.433,148.995
2018-06-21T17:00:05Z,2359750,-1190.87,410.919
2018-06-21T17:00:05Z,2359755,-2288.22,1.0057
2018-06-21T17:00:05Z,2359759,-782.906,129.913
2018-06-21T17:00:05Z,2359763,-2330.22,88.2375
2018-06-21T17:00:05Z,2359765,-3063.53,419.454
2018-06-21T17:00:05Z,2359769,-3476.07,4.1641
2018-06-21T17:00:05Z,2359775,-444.083,474.855
2018-06-21T17:00:05Z,2359777,-2062.59,225.147
2018-06-21T17:00:06Z,2358964,-2370.44,240.888
2018-06-21T17:00:06Z,2359044,-1659.28,134.778
2018-06-21T17:00:06Z,2359589,-1066.5,342.473
2018-06-21T17:00:06Z,2359612,-2088.91,330.464
2018-06-21T17:00:06Z,2359622,-663.617,391.958
2018-06-21T17:00:06Z,2359632,-2888.45,364.815
2018-06-21T17:00:06Z,2359635,-2796.02,101.123
2018-06-21T17:00:06Z,2359637,-2580.99,321.803
2018-06-21T17:00:06Z,2359651,-1620.15,337.387
2018-06-21T17:00:06Z,2359658,-974.781,85.9785
2018-06-21T17:00:06Z,2359678,-829.369,338.29
2018-06-21T17:00:06Z,2359679,-925.252,357.176
2018-06-21T17:00:06Z,2359695,-1692.02,236.208
2018-06-21T17:00:06Z,2359713,-1859.88,250.626
2018-06-21T17:00:06Z,2359718,-453.569,362.291
2018-06-21T17:00:06Z,2359719,-4305.17,202.122
2018-06-21T17:00:06Z,2359723,-4317.02,306.748
2018-06-21T17:00:06Z,2359724,-530.633,34.7142
2018-06-21T17:00:06Z,2359727,-1778.95,343.852
2018-06-21T17:00:06Z,2359729,131.681,299.605
2018-06-21T17:00:06Z,2359731,-1694.83,360.159
2018-06-21T17:00:06Z,2359733,-1922.89,121.452
2018-06-21T17:00:06Z,2359735,-4157.63,367.313
2018-06-21T17:00:06Z,2359736,132.819,172.12
