1,08:00,9,1,0
1,08:01,8,1,0
1,08:02,7,1,0
1,08:03,6,1,0
1,08:04,5,1,0
1,08:05,4,1,0
1,08:06,3,1,0
1,08:07,2,1,0
1,08:08,1,1,0
1,08:09,9,4,0
1,08:10,8,4,0
1,08:11,7,4,0
1,08:12,6,4,0
1,08:13,5,4,0
1,08:14,4,4,0
1,08:15,3,4,0
1,08:16,2,4,0
1,08:17,1,4,0
1,08:18,21,3,6
1,08:19,20,3,6
1,08:20,19,3,6
1,08:21,18,3,6
1,08:22,17,3,6
1,08:23,16,3,6
1,08:24,15,3,6
1,08:25,14,3,6
1,08:26,13,3,6
1,08:27,12,3,6
1,08:28,11,3,6
1,08:29,10,3,6
1,08:30,9,3,6
1,08:31,8,3,6
1,08:32,7,3,6
1,08:33,6,3,6
1,08:34,5,3,6
1,08:35,4,3,6
1,08:36,3,3,6
1,08:37,2,3,6
1,08:38,1,3,6
1,08:39,9,3,1
1,08:40,8,3,1
1,08:41,7,3,1
1,08:42,6,3,1
1,08:43,5,3,1
1,08:44,4,3,1
1,08:45,3,3,1
1,08:46,2,3,1
1,08:47,1,3,1
1,08:48,21,1,0
1,08:49,20,1,0
1,08:50,19,1,0
1,08:51,18,1,0
1,08:52,17,1,0
1,08:53,16,1,0
1,08:54,15,1,0
1,08:55,14,1,0
1,08:56,13,1,0
1,08:57,12,1,0
1,08:58,11,1,0
